عدد التصاريح من نسك,نوع التصريح,الجنس,اليوم
10815,روضة رجال,ذكر,1444/1/3
10591,روضة نساء,أنثى,1444/2/4
73039,عمرة,ذكر,1444/1/7
8092,روضة رجال,ذكر,1444/1/16
14544,روضة نساء,أنثى,1444/3/12
5051,روضة رجال,ذكر,1444/1/10
33656,عمرة,ذكر,1444/1/12
11990,عمرة,أنثى,1444/3/12
24554,عمرة,ذكر,1444/1/29
23393,عمرة,أنثى,1444/4/10
10363,عمرة,أنثى,1444/3/2
9999,روضة نساء,أنثى,1444/3/8
15516,روضة رجال,ذكر,1444/4/19
53566,عمرة,ذكر,1444/1/6
10342,عمرة,أنثى,1444/2/9
15664,عمرة,ذكر,1444/2/9
13369,روضة رجال,ذكر,1444/2/21
8517,روضة نساء,أنثى,1444/2/16
24655,عمرة,ذكر,1444/4/21
14015,روضة نساء,أنثى,1444/5/12
14224,روضة رجال,ذكر,1444/4/20
4712,روضة نساء,أنثى,1444/1/14
23828,عمرة,أنثى,1444/4/24
25120,عمرة,أنثى,1444/5/23
20369,عمرة,أنثى,1444/5/8
24597,عمرة,ذكر,1444/5/5
15495,روضة رجال,ذكر,1444/4/26
7939,روضة رجال,ذكر,1444/4/13
10622,روضة رجال,ذكر,1444/2/19
18747,روضة نساء,أنثى,1444/6/5
39920,عمرة,ذكر,1444/6/5
14590,روضة نساء,أنثى,1444/4/28
14506,روضة نساء,أنثى,1444/4/8
11546,روضة نساء,أنثى,1444/3/16
13370,روضة رجال,ذكر,1444/3/4
18759,روضة نساء,أنثى,1444/6/21
11830,روضة نساء,أنثى,1444/3/4
8842,روضة رجال,ذكر,1444/2/3
10645,روضة رجال,ذكر,1444/3/8
21836,عمرة,أنثى,1444/5/7
16804,روضة رجال,ذكر,1444/5/23
21696,عمرة,ذكر,1444/4/6
28476,عمرة,ذكر,1444/1/24
28147,عمرة,ذكر,1444/5/2
13111,روضة نساء,أنثى,1444/4/1
18710,روضة نساء,أنثى,1444/5/28
17977,عمرة,ذكر,1444/5/10
14022,روضة نساء,أنثى,1444/6/6
19623,عمرة,ذكر,1444/5/18
18523,روضة نساء,أنثى,1444/5/21
15664,روضة نساء,أنثى,1444/4/19
12042,عمرة,أنثى,1444/2/1
15959,عمرة,أنثى,1444/2/12
27854,عمرة,ذكر,1444/1/25
21260,عمرة,أنثى,1444/7/2
16866,روضة رجال,ذكر,1444/5/10
15198,عمرة,أنثى,1444/4/5
12114,روضة رجال,ذكر,1444/2/29
24390,عمرة,أنثى,1444/6/26
24643,عمرة,ذكر,1444/6/25
24154,عمرة,ذكر,1444/7/7
9869,روضة نساء,أنثى,1444/3/1
11141,روضة نساء,أنثى,1444/1/29
10378,روضة رجال,ذكر,1444/3/1
25874,عمرة,أنثى,1444/4/29
35907,عمرة,أنثى,1444/8/15
31734,عمرة,أنثى,1444/7/12
22087,عمرة,أنثى,1444/4/9
21849,عمرة,أنثى,1444/6/23
22129,عمرة,أنثى,1444/2/6
18740,روضة نساء,أنثى,1444/7/4
14802,روضة رجال,ذكر,1444/5/26
27235,عمرة,أنثى,1444/8/20
13491,عمرة,ذكر,1444/3/28
34538,عمرة,ذكر,1444/6/7
13652,روضة رجال,ذكر,1444/6/27
9274,عمرة,أنثى,1444/3/27
47029,عمرة,ذكر,1444/8/11
24686,عمرة,ذكر,1444/6/24
18627,روضة نساء,أنثى,1444/6/14
33098,عمرة,أنثى,1444/8/2
12854,روضة نساء,أنثى,1444/5/8
16282,روضة نساء,أنثى,1444/9/4
29816,عمرة,ذكر,1444/4/29
16319,روضة نساء,أنثى,1444/8/26
16665,روضة رجال,ذكر,1444/5/28
97372,عمرة,أنثى,1444/9/7
19082,عمرة,ذكر,1444/5/13
16599,روضة رجال,ذكر,1444/6/2
17550,روضة نساء,أنثى,1444/8/1
125226,عمرة,ذكر,1444/9/1
29837,عمرة,أنثى,1444/8/9
16144,روضة رجال,ذكر,1444/7/23
34422,عمرة,أنثى,1444/8/24
23695,عمرة,ذكر,1444/7/21
30990,عمرة,أنثى,1444/7/3
13947,روضة رجال,ذكر,1444/6/6
51376,عمرة,ذكر,1444/8/30
49790,عمرة,ذكر,1444/7/5
36356,عمرة,ذكر,1444/8/26
14726,عمرة,أنثى,1444/6/15
14035,روضة نساء,أنثى,1444/7/12
28317,عمرة,ذكر,1444/5/23
16656,روضة رجال,ذكر,1444/7/16
30572,عمرة,ذكر,1444/8/9
28969,عمرة,ذكر,1444/7/13
17511,روضة نساء,أنثى,1444/8/17
102691,عمرة,أنثى,1444/9/9
